county_fips,group_id,regional_jail_name,county_fips_list,start_year,end_year,n_years,n_counties
08051,56,,"('08051', '08053')",1970,2026,57,2
08053,56,,"('08051', '08053')",1970,2026,57,2
08061,57,,"('08061', '08099')",1989,2026,38,2
08067,58,,"('08067', '08111')",1970,2026,57,2
08075,59,,"('08075', '08095')",1984,2026,43,2
08079,60,,"('08079', '08105')",1970,2026,57,2
08085,61,,"('08085', '08091')",1970,2026,57,2
08091,61,,"('08085', '08091')",1970,2026,57,2
08095,59,,"('08075', '08095')",1984,2026,43,2
08099,57,,"('08061', '08099')",1989,2026,38,2
08105,60,,"('08079', '08105')",1970,2026,57,2
08111,58,,"('08067', '08111')",1970,2026,57,2
13061,62,,"('13061', '13239', '13243')",1994,2026,33,3
13101,63,,"('13101', '13185')",1970,2026,57,2
13185,63,,"('13101', '13185')",1970,2026,57,2
13189,64,,"('13189', '13301')",1979,2026,48,2
13239,62,,"('13061', '13239', '13243')",1994,2026,33,3
13239,67,,"('13239', '13243')",1970,1993,24,2
13243,62,,"('13061', '13239', '13243')",1994,2026,33,3
13243,67,,"('13239', '13243')",1970,1993,24,2
13261,65,,"('13261', '13307')",1989,2026,38,2
13265,66,,"('13265', '13317')",1970,2026,57,2
13301,64,,"('13189', '13301')",1979,2026,48,2
13307,65,,"('13261', '13307')",1989,2026,38,2
13317,66,,"('13265', '13317')",1970,2026,57,2
16001,69,,"('16001', '16015')",1979,2026,48,2
16005,70,,"('16005', '16071')",2007,2026,20,2
16015,69,,"('16001', '16015')",1979,2026,48,2
16031,71,,"('16031', '16067')",1989,2026,38,2
16065,72,,"('16065', '16081')",2000,2026,27,2
16067,71,,"('16031', '16067')",1989,2026,38,2
16071,70,,"('16005', '16071')",2007,2026,20,2
16081,72,,"('16065', '16081')",2000,2026,27,2
17013,73,,"('17013', '17083')",1984,2026,43,2
17047,74,,"('17047', '17059', '17065', '17193')",1986,2026,41,4
17047,77,,"('17047', '17065', '17193')",1984,1985,2,3
17047,78,,"('17047', '17193')",1970,1983,14,2
17059,74,,"('17047', '17059', '17065', '17193')",1986,2026,41,4
17065,74,,"('17047', '17059', '17065', '17193')",1986,2026,41,4
17065,77,,"('17047', '17065', '17193')",1984,1985,2,3
17083,73,,"('17013', '17083')",1984,2026,43,2
17087,75,,"('17087', '17165')",1970,2026,57,2
17127,76,,"('17127', '17151')",1984,2026,43,2
17151,76,,"('17127', '17151')",1984,2026,43,2
17165,75,,"('17087', '17165')",1970,2026,57,2
17193,74,,"('17047', '17059', '17065', '17193')",1986,2026,41,4
17193,77,,"('17047', '17065', '17193')",1984,1985,2,3
17193,78,,"('17047', '17193')",1970,1983,14,2
18115,79,,"('18115', '18155')",1979,2026,48,2
18155,79,,"('18115', '18155')",1979,2026,48,2
19025,68,,"('19025', '19161')",1984,2026,43,2
19161,68,,"('19025', '19161')",1984,2026,43,2
20063,80,,"('20063', '20195')",1970,2026,57,2
20069,81,,"('20069', '20119')",1970,2026,57,2
20119,81,,"('20069', '20119')",1970,2026,57,2
20171,82,,"('20171', '20203')",1970,2026,57,2
20195,80,,"('20063', '20195')",1970,2026,57,2
20203,82,,"('20171', '20203')",1970,2026,57,2
21001,4,Adair County Regional Jail,"('21001', '21057')",1984,2026,43,2
21005,93,,"('21005', '21211', '21215')",1988,2026,39,3
21009,94,,"('21009', '21169')",1979,2026,48,2
21011,85,Montgomery County Regional Jail,"('21011', '21173', '21165')",1989,2026,38,3
21015,95,,"('21015', '21191')",2000,2026,27,2
21017,5,Bourbon County Regional Detention Center,"('21017', '21097', '21181', '21201')",1979,2026,48,4
21023,0,Mason County Regional Detention Center,"('21023', '21069', '21135', '21161')",2021,2026,6,4
21023,6,Mason County Regional Detention Center,"('21023', '21069', '21161')",1989,2020,32,3
21023,98,,"('21023', '21161')",1979,1988,10,2
21025,1,Kentucky River Regional Jail,"('21025', '21119', '21193')",2021,2026,6,3
21025,8,Three Forks Regional Detention Center,"('21025', '21129', '21189', '21237')",1990,2019,30,4
21025,96,,"('21025', '21129', '21189')",1989,1989,1,3
21025,99,,"('21025', '21129')",1979,1988,10,2
21027,86,,"('21027', '21091')",2000,2026,27,2
21033,87,,"('21033', '21143')",1984,2026,43,2
21041,83,Carrol County Regional Detention Center,"('21041', '21103', '21223')",1989,2019,31,3
21041,84,Carrol County Regional Detention Center,"('21041', '21077', '21187', '21223')",2020,2026,7,4
21041,100,,"('21041', '21223')",1970,1988,19,2
21047,90,,"('21047', '21221')",2006,2026,21,2
21057,4,Adair County Regional Jail,"('21001', '21057')",1984,2026,43,2
21063,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21063,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21063,101,,"('21063', '21115', '21175')",1984,1988,5,3
21065,3,Three Forks Regional Detention Center,"('21129', '21189', '21237', '21151', '21065')",2020,2026,7,5
21069,0,Mason County Regional Detention Center,"('21023', '21069', '21135', '21161')",2021,2026,6,4
21069,6,Mason County Regional Detention Center,"('21023', '21069', '21161')",1989,2020,32,3
21077,84,Carrol County Regional Detention Center,"('21041', '21077', '21187', '21223')",2020,2026,7,4
21079,88,,"('21079', '21137')",1984,2026,43,2
21087,89,,"('21087', '21217')",1984,2026,43,2
21091,86,,"('21027', '21091')",2000,2026,27,2
21097,5,Bourbon County Regional Detention Center,"('21017', '21097', '21181', '21201')",1979,2026,48,4
21103,83,Carrol County Regional Detention Center,"('21041', '21103', '21223')",1989,2019,31,3
21115,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21115,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21115,101,,"('21063', '21115', '21175')",1984,1988,5,3
21115,103,,"('21115', '21175')",1979,1983,5,2
21119,1,Kentucky River Regional Jail,"('21025', '21119', '21193')",2021,2026,6,3
21119,7,Kentucky River Regional Jail,"('21119', '21193')",2000,2020,21,2
21127,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21127,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21129,3,Three Forks Regional Detention Center,"('21129', '21189', '21237', '21151', '21065')",2020,2026,7,5
21129,8,Three Forks Regional Detention Center,"('21025', '21129', '21189', '21237')",1990,2019,30,4
21129,96,,"('21025', '21129', '21189')",1989,1989,1,3
21129,99,,"('21025', '21129')",1979,1988,10,2
21135,0,Mason County Regional Detention Center,"('21023', '21069', '21135', '21161')",2021,2026,6,4
21137,88,,"('21079', '21137')",1984,2026,43,2
21139,92,,"('21139', '21145')",2000,2026,27,2
21143,87,,"('21033', '21143')",1984,2026,43,2
21145,92,,"('21139', '21145')",2000,2026,27,2
21151,3,Three Forks Regional Detention Center,"('21129', '21189', '21237', '21151', '21065')",2020,2026,7,5
21153,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21153,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21155,91,,"('21155', '21229')",1979,2026,48,2
21159,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21161,0,Mason County Regional Detention Center,"('21023', '21069', '21135', '21161')",2021,2026,6,4
21161,6,Mason County Regional Detention Center,"('21023', '21069', '21161')",1989,2020,32,3
21161,98,,"('21023', '21161')",1979,1988,10,2
21165,85,Montgomery County Regional Jail,"('21011', '21173', '21165')",1989,2026,38,3
21169,94,,"('21009', '21169')",1979,2026,48,2
21173,85,Montgomery County Regional Jail,"('21011', '21173', '21165')",1989,2026,38,3
21175,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21175,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21175,101,,"('21063', '21115', '21175')",1984,1988,5,3
21175,103,,"('21115', '21175')",1979,1983,5,2
21181,5,Bourbon County Regional Detention Center,"('21017', '21097', '21181', '21201')",1979,2026,48,4
21187,84,Carrol County Regional Detention Center,"('21041', '21077', '21187', '21223')",2020,2026,7,4
21189,3,Three Forks Regional Detention Center,"('21129', '21189', '21237', '21151', '21065')",2020,2026,7,5
21189,8,Three Forks Regional Detention Center,"('21025', '21129', '21189', '21237')",1990,2019,30,4
21189,96,,"('21025', '21129', '21189')",1989,1989,1,3
21191,95,,"('21015', '21191')",2000,2026,27,2
21193,1,Kentucky River Regional Jail,"('21025', '21119', '21193')",2021,2026,6,3
21193,7,Kentucky River Regional Jail,"('21119', '21193')",2000,2020,21,2
21201,5,Bourbon County Regional Detention Center,"('21017', '21097', '21181', '21201')",1979,2026,48,4
21211,93,,"('21005', '21211', '21215')",1988,2026,39,3
21211,102,,"('21211', '21215')",1984,1987,4,2
21215,93,,"('21005', '21211', '21215')",1988,2026,39,3
21215,102,,"('21211', '21215')",1984,1987,4,2
21217,89,,"('21087', '21217')",1984,2026,43,2
21221,90,,"('21047', '21221')",2006,2026,21,2
21223,83,Carrol County Regional Detention Center,"('21041', '21103', '21223')",1989,2019,31,3
21223,84,Carrol County Regional Detention Center,"('21041', '21077', '21187', '21223')",2020,2026,7,4
21223,100,,"('21041', '21223')",1970,1988,19,2
21229,91,,"('21155', '21229')",1979,2026,48,2
21237,3,Three Forks Regional Detention Center,"('21129', '21189', '21237', '21151', '21065')",2020,2026,7,5
21237,8,Three Forks Regional Detention Center,"('21025', '21129', '21189', '21237')",1990,2019,30,4
23015,10,Two Bridges Regional Jail,"('23015', '23023')",1970,2026,57,2
23023,10,Two Bridges Regional Jail,"('23015', '23023')",1970,2026,57,2
25001,9,Barnstable County Correctional Facility,"('25001', '25019')",1970,2026,57,2
25019,9,Barnstable County Correctional Facility,"('25001', '25019')",1970,2026,57,2
26129,104,,"('26129', '26135')",1970,2026,57,2
26135,104,,"('26129', '26135')",1970,2026,57,2
27011,105,,"('27011', '27149', '27155')",1970,2026,57,3
27039,106,,"('27039', '27147')",1970,2026,57,2
27041,107,,"('27041', '27121')",1970,2026,57,2
27083,108,,"('27083', '27101')",1970,2026,57,2
27101,108,,"('27083', '27101')",1970,2026,57,2
27105,109,,"('27105', '27133')",1979,2026,48,2
27107,11,Tri-County Community Corrections,"('27107', '27119', '27125')",1970,2026,57,3
27119,11,Tri-County Community Corrections,"('27107', '27119', '27125')",1970,2026,57,3
27121,107,,"('27041', '27121')",1970,2026,57,2
27125,11,Tri-County Community Corrections,"('27107', '27119', '27125')",1970,2026,57,3
27133,109,,"('27105', '27133')",1979,2026,48,2
27147,106,,"('27039', '27147')",1970,2026,57,2
27149,105,,"('27011', '27149', '27155')",1970,2026,57,3
27155,105,,"('27011', '27149', '27155')",1970,2026,57,3
28015,112,Carroll-Montgomery County Regional Correctional Facility,"('28015', '28097')",1994,2026,33,2
28019,113,Winston-Choctaw County Regional Correctional Facility,"('28019', '28159')",1999,2026,28,2
28051,114,Holmes-Humphreys County Regional Correctional Facility,"('28051', '28053')",2003,2026,24,2
28053,114,Holmes-Humphreys County Regional Correctional Facility,"('28051', '28053')",2003,2026,24,2
28097,112,Carroll-Montgomery County Regional Correctional Facility,"('28015', '28097')",1994,2026,33,2
28159,113,Winston-Choctaw County Regional Correctional Facility,"('28019', '28159')",1999,2026,28,2
29055,110,,"('29055', '29073')",1994,2026,33,2
29061,111,,"('29061', '29063')",1978,2026,49,2
29063,111,,"('29061', '29063')",1978,2026,49,2
29073,110,,"('29055', '29073')",1994,2026,33,2
30007,115,,"('30007', '30059')",1979,2026,48,2
30009,116,,"('30009', '30095', '30111')",2000,2026,27,3
30011,117,,"('30011', '30025')",1970,2026,57,2
30015,118,,"('30015', '30051')",2007,2026,20,2
30021,119,,"('30021', '30109')",1979,2026,48,2
30025,117,,"('30011', '30025')",1970,2026,57,2
30027,120,,"('30027', '30045', '30069')",1979,2026,48,3
30027,124,,"('30027', '30069')",1970,1978,9,2
30031,121,,"('30031', '30057')",2000,2026,27,2
30033,122,,"('30033', '30035')",1979,2026,48,2
30035,122,,"('30033', '30035')",1979,2026,48,2
30045,120,,"('30027', '30045', '30069')",1979,2026,48,3
30051,118,,"('30015', '30051')",2007,2026,20,2
30057,121,,"('30031', '30057')",2000,2026,27,2
30059,115,,"('30007', '30059')",1979,2026,48,2
30069,120,,"('30027', '30045', '30069')",1979,2026,48,3
30069,124,,"('30027', '30069')",1970,1978,9,2
30095,116,,"('30009', '30095', '30111')",2000,2026,27,3
30095,123,,"('30095', '30111')",1994,1999,6,2
30109,119,,"('30021', '30109')",1979,2026,48,2
30111,116,,"('30009', '30095', '30111')",2000,2026,27,3
30111,123,,"('30095', '30111')",1994,1999,6,2
31007,136,,"('31007', '31157')",1970,2026,57,2
31017,137,,"('31017', '31103')",1970,2026,57,2
31021,138,,"('31021', '31177')",1970,2026,57,2
31037,139,,"('31037', '31141')",2006,2026,21,2
31047,140,,"('31047', '31073')",1970,2026,57,2
31071,141,,"('31071', '31077', '31115', '31163', '31175', '31183')",1984,2026,43,6
31071,147,,"('31071', '31077', '31115', '31175', '31183')",1970,1983,14,5
31073,140,,"('31047', '31073')",1970,2026,57,2
31077,141,,"('31071', '31077', '31115', '31163', '31175', '31183')",1984,2026,43,6
31077,147,,"('31071', '31077', '31115', '31175', '31183')",1970,1983,14,5
31097,142,,"('31097', '31133')",1979,2026,48,2
31101,143,,"('31101', '31135')",1984,2026,43,2
31103,137,,"('31017', '31103')",1970,2026,57,2
31111,144,,"('31111', '31113')",1970,2026,57,2
31113,144,,"('31111', '31113')",1970,2026,57,2
31115,141,,"('31071', '31077', '31115', '31163', '31175', '31183')",1984,2026,43,6
31115,147,,"('31071', '31077', '31115', '31175', '31183')",1970,1983,14,5
31121,145,,"('31121', '31125')",1970,2026,57,2
31125,145,,"('31121', '31125')",1970,2026,57,2
31133,142,,"('31097', '31133')",1979,2026,48,2
31135,143,,"('31101', '31135')",1984,2026,43,2
31139,146,,"('31139', '31167')",1970,2026,57,2
31141,139,,"('31037', '31141')",2006,2026,21,2
31157,136,,"('31007', '31157')",1970,2026,57,2
31163,141,,"('31071', '31077', '31115', '31163', '31175', '31183')",1984,2026,43,6
31167,146,,"('31139', '31167')",1970,2026,57,2
31175,141,,"('31071', '31077', '31115', '31163', '31175', '31183')",1984,2026,43,6
31175,147,,"('31071', '31077', '31115', '31175', '31183')",1970,1983,14,5
31177,138,,"('31021', '31177')",1970,2026,57,2
31183,141,,"('31071', '31077', '31115', '31163', '31175', '31183')",1984,2026,43,6
31183,147,,"('31071', '31077', '31115', '31175', '31183')",1970,1983,14,5
35033,148,,"('35033', '35047')",1994,2026,33,2
35047,148,,"('35033', '35047')",1994,2026,33,2
36005,16,New York City,"('36061', '36005', '36047', '36081', '36085')",1970,2026,57,5
36047,16,New York City,"('36061', '36005', '36047', '36081', '36085')",1970,2026,57,5
36061,16,New York City,"('36061', '36005', '36047', '36081', '36085')",1970,2026,57,5
36081,16,New York City,"('36061', '36005', '36047', '36081', '36085')",1970,2026,57,5
36085,16,New York City,"('36061', '36005', '36047', '36081', '36085')",1970,2026,57,5
37015,125,,"('37015', '37117')",1989,2026,38,2
37029,126,,"('37029', '37139', '37143')",1970,2026,57,3
37095,127,,"('37095', '37187')",2004,2026,23,2
37111,128,,"('37111', '37121')",2000,2026,27,2
37117,125,,"('37015', '37117')",1989,2026,38,2
37121,128,,"('37111', '37121')",2000,2026,27,2
37139,126,,"('37029', '37139', '37143')",1970,2026,57,3
37143,126,,"('37029', '37139', '37143')",1970,2026,57,3
37187,127,,"('37095', '37187')",2004,2026,23,2
38005,12,Lake Region Law Enforcement Center,"('38005', '38027', '38063', '38071', '38095')",1970,2006,37,5
38005,13,Lake Region Law Enforcement Center,"('38005', '38027', '38063', '38071')",2007,2026,20,4
38007,14,Southwest Multi-County Correction Center,"('38007', '38011', '38025', '38033', '38041', '38087', '38089')",1994,2026,33,7
38007,134,,"('38007', '38011', '38025', '38041', '38087', '38089')",1979,1993,15,6
38007,135,,"('38007', '38087', '38089')",1970,1978,9,3
38009,129,,"('38009', '38075')",1970,2026,57,2
38011,14,Southwest Multi-County Correction Center,"('38007', '38011', '38025', '38033', '38041', '38087', '38089')",1994,2026,33,7
38011,134,,"('38007', '38011', '38025', '38041', '38087', '38089')",1979,1993,15,6
38015,130,,"('38015', '38029')",1984,2026,43,2
38023,131,,"('38023', '38105')",1979,2026,48,2
38025,14,Southwest Multi-County Correction Center,"('38007', '38011', '38025', '38033', '38041', '38087', '38089')",1994,2026,33,7
